Dataset,Train Size,Test Size,Length,No. of Classes,Type
DucksAndGeese,50,50,236784,5,AUDIO
UrbanSound,2713,2712,44100,10,AUDIO
BinaryHeartbeat,204,205,18530,2,AUDIO
EigenWorms,131,128,17984,5,MOTION
CatsDogs,138,137,14773,2,AUDIO
FruitFlies,17259,17259,5000,3,AUDIO
CounterMovementJump,419,179,4250,3,HAR
RightWhaleCalls,10934,1962,4000,2,AUDIO
MosquitoSound,139883,139883,3750,6,AUDIO
AbnormalHeartbeat,303,303,3053,5,AUDIO
MotorImagery,278,100,3000,2,EEG
HouseTwenty,34,101,3000,2,DEVICE
Rock,20,50,2844,4,SPECTRO
HandOutlines,1000,370,2709,2,IMAGE
StandWalkJump,12,15,2500,3,ECG
PigCVP,104,208,2000,52,HEMODYNAMICS
PigArtPressure,104,208,2000,52,HEMODYNAMICS
PigAirwayPressure,104,208,2000,52,HEMODYNAMICS
InlineSkate,100,550,1882,7,MOTION
EthanolLevel,504,500,1751,4,SPECTRO
EthanolConcentration,261,263,1751,4,OTHER
CinCECGtorso,40,1380,1639,4,ECG
SemgHandSubjectCh2,450,450,1500,5,SPECTRO
SemgHandMovementCh2,450,450,1500,6,SPECTRO
SemgHandGenderCh2,300,600,1500,2,SPECTRO
ACSF1,100,100,1460,10,DEVICE
EOGVerticalSignal,362,362,1250,12,EOG
EOGHorizontalSignal,362,362,1250,12,EOG
Cricket,108,72,1197,12,HAR
SelfRegulationSCP2,200,180,1152,2,EEG
Haptics,155,308,1092,5,MOTION
StarlightCurves,1000,8236,1024,3,SENSOR
Phoneme,214,1896,1024,39,SOUND
MixedShapesSmallTrain,100,2425,1024,5,IMAGE
MixedShapes,500,2425,1024,5,IMAGE
Mallat,55,2345,1024,8,SIMULATED
UWaveGestureLibraryAll,896,3582,945,8,MOTION
WormsTwoClass,181,77,900,2,MOTION
Worms,181,77,900,5,MOTION
SelfRegulationSCP1,268,293,896,2,EEG
NonInvasiveFetalECGThorax2,1800,1965,750,42,ECG
NonInvasiveFetalECGThorax1,1800,1965,750,42,ECG
SmallKitchenAppliances,375,375,720,3,DEVICE
ScreenType,375,375,720,3,DEVICE
RefrigerationDevices,375,375,720,3,DEVICE
LargeKitchenAppliances,375,375,720,3,DEVICE
Computers,250,250,720,2,DEVICE
AtrialFibrillation,15,15,640,3,ECG
Lightning2,60,61,637,2,SENSOR
InsectEPGSmallTrain,17,249,601,3,EPG
InsectEPGRegularTrain,62,249,601,3,EPG
InsectSound,25000,25000,600,10,AUDIO
Car,60,60,577,4,SENSOR
OliveOil,30,30,570,4,SPECTRO
ShapesAll,600,600,512,60,IMAGE
Herring,64,64,512,2,IMAGE
Earthquakes,322,139,512,2,SENSOR
BirdChicken,20,20,512,2,IMAGE
BeetleFly,20,20,512,2,IMAGE
ShapeletSim,20,180,500,2,SIMULATED
FordB,3636,810,500,2,SENSOR
FordA,3601,1320,500,2,SENSOR
Beef,30,30,470,5,SPECTRO
Fish,175,175,463,7,IMAGE
Meat,60,60,448,3,SPECTRO
Ham,109,105,431,2,SPECTRO
OSULeaf,200,242,427,6,IMAGE
Yoga,300,3000,426,2,IMAGE
Heartbeat,204,205,405,2,AUDIO
HandMovementDirection,160,74,400,4,EEG
Symbols,25,995,398,6,IMAGE
GestureMidAirD3,208,130,360,26,MOTION
GestureMidAirD2,208,130,360,26,MOTION
GestureMidAirD1,208,130,360,26,MOTION
FaceFour,24,88,350,4,IMAGE
DiatomSizeReduction,16,306,345,4,IMAGE
ToeSegmentation2,36,130,343,2,MOTION
Lightning7,70,73,319,7,SENSOR
UWaveGestureLibraryZ,896,3582,315,8,MOTION
UWaveGestureLibraryY,896,3582,315,8,MOTION
UWaveGestureLibraryX,896,3582,315,8,MOTION
UWaveGestureLibrary,2238,2241,315,8,HAR
FreezerSmallTrain,28,2850,301,2,SENSOR
FreezerRegularTrain,150,2850,301,2,SENSOR
CricketZ,390,390,300,12,MOTION
CricketY,390,390,300,12,MOTION
CricketX,390,390,300,12,MOTION
DodgerLoopWeekend,20,138,288,2,SENSOR
DodgerLoopGame,20,138,288,2,SENSOR
DodgerLoopDay,78,80,288,7,SENSOR
Coffee,28,28,286,2,SPECTRO
ToeSegmentation1,40,228,277,2,MOTION
Trace,100,100,275,4,SENSOR
WordSynonyms,267,638,270,25,IMAGE
FiftyWords,450,455,270,50,IMAGE
DuckDuckGeese,60,40,270,5,AUDIO
ElectricDeviceDetection,623,3767,256,2,
ArrowHead,36,175,251,3,IMAGE
Strawberry,613,370,235,2,SPECTRO
Wine,57,54,234,2,SPECTRO
PhonemeSpectra,3315,3353,217,39,SOUND
Epilepsy,137,138,207,4,HAR
Fungi,18,186,201,18,OTHER
CharacterTrajectories,1422,1436,182,20,MOTION
Colposcopy,100,100,180,6,IMAGE
Adiac,390,391,176,37,IMAGE
ChlorineConcentration,467,3840,166,3,SIMULATED
Wafer,1000,6164,152,2,SENSOR
Handwriting,150,850,152,26,HAR
UMD,36,144,150,3,SIMULATED
GunPointOldVersusYoung,135,316,150,2,MOTION
GunPointMaleVersusFemale,135,316,150,2,MOTION
GunPointAgeSpan,135,316,150,2,MOTION
GunPoint,50,150,150,2,MOTION
PowerCons,180,180,144,2,DEVICE
Plane,105,105,144,7,SENSOR
PEMS-SF,267,173,144,7,MISC
ArticularyWordRecognition,275,300,144,25,MOTION
ECG5000,500,4500,140,5,ECG
ECGFiveDays,23,861,136,2,ECG
FacesUCR,200,2050,131,14,IMAGE
FaceAll,560,1690,131,14,IMAGE
TwoPatterns,1000,4000,128,4,SIMULATED
SwedishLeaf,500,625,128,15,IMAGE
EyesOpenShut,56,42,128,2,EEG
CBF,30,900,128,3,SIMULATED
BME,30,150,128,3,SIMULATED
BasicMotions,40,40,100,4,HAR
MedicalImages,381,760,99,10,IMAGE
ElectricDevices,8926,7711,96,7,DEVICE
ECG200,100,100,96,2,ECG
SpokenArabicDigits,6599,2199,93,10,SPEECH
MoteStrain,20,1252,84,2,SENSOR
TwoLeadECG,23,1139,82,2,ECG
ProximalPhalanxTW,400,205,80,6,IMAGE
ProximalPhalanxOutlineCorrect,600,291,80,2,IMAGE
ProximalPhalanxOutlineAgeGroup,400,205,80,3,IMAGE
PhalangesOutlinesCorrect,1800,858,80,2,IMAGE
MiddlePhalanxTW,399,154,80,6,IMAGE
MiddlePhalanxOutlineCorrect,600,291,80,2,IMAGE
MiddlePhalanxOutlineAgeGroup,400,154,80,3,IMAGE
DistalPhalanxTW,400,139,80,6,IMAGE
DistalPhalanxOutlineCorrect,600,276,80,2,IMAGE
DistalPhalanxOutlineAgeGroup,400,139,80,3,IMAGE
SonyAIBORobotSurface1,20,601,70,2,SENSOR
SonyAIBORobotSurface2,27,953,65,2,SENSOR
ERing,30,270,65,6,HAR
FaceDetection,5890,3524,62,2,EEG
SyntheticControl,300,300,60,6,SIMULATED
SharePriceIncrease,965,965,60,2,FINANCIAL
NATOPS,180,180,51,6,HAR
FingerMovements,316,100,50,2,EEG
Crop,7200,16800,46,24,IMAGE
Libras,180,180,45,15,HAR
LSST,2459,2466,36,14,OTHER
RacketSports,151,152,30,4,HAR
InsectWingbeat,30000,20000,30,10,AUDIO
JapaneseVowels,270,370,29,9,AUDIO
MelbournePedestrian,1194,2439,24,10,TRAFFIC
ItalyPowerDemand,67,1029,24,2,SENSOR
Chinatown,20,345,24,2,Traffic
Tiselac,81714,17973,23,9,IMAGE
SmoothSubspace,150,150,15,3,SIMULATED
PenDigits,7494,3498,8,10,MOTION
ShakeGestureWiimoteZ,50,50,0,10,SENSOR
PLAID,537,537,0,11,DEVICE
PickupGestureWiimoteZ,50,50,0,10,SENSOR
GesturePebbleZ2,146,158,0,6,MOTION
GesturePebbleZ1,132,172,0,6,MOTION
AsphaltRegularityCoordinates,751,751,0,2,MOTION
AsphaltRegularity,751,751,0,2,MOTION
AsphaltPavementTypeCoordinates,1055,1056,0,3,MOTION
AsphaltPavementType,1055,1056,0,3,MOTION
AsphaltObstaclesCoordinates,390,391,0,4,MOTION
AsphaltObstacles,390,391,0,4,MOTION
AllGestureWiimoteZ,300,700,0,10,MOTION
AllGestureWiimoteY,300,700,0,10,MOTION
AllGestureWiimoteX,300,700,0,10,MOTION